GEOID,NAME,B17001_001,B17001_002,B20004_001,B20004_002,B20004_003,B20004_004,B20004_005,B20004_006,B25014_001,B25014_002,B25014_003,B25014_004,B25014_005,B25014_006,B25014_007,B25014_008,B25014_009,B25014_010,B25014_011,B25014_012,B25014_013,B25064_001,B25071_001
00683,ZCTA5 00683,28821,14770,16880,8951,13325,17304,23573,31220,11067,7847,4953,2756,114,24,0,3220,1752,1236,223,0,9,407,33.6
00685,ZCTA5 00685,36929,19904,15558,7764,13800,15808,24137,28568,13383,8633,5883,2686,17,31,16,4750,2893,1761,87,9,0,401,32.8
00687,ZCTA5 00687,30880,13879,17396,13471,15429,16771,26810,34458,9645,6679,3865,2665,70,79,0,2966,1518,1399,49,0,0,503,29.6
00688,ZCTA5 00688,11703,6110,17042,9423,15578,15313,19975,29946,4237,3029,1970,965,94,0,0,1208,613,569,26,0,0,443,39.7
00690,ZCTA5 00690,5722,2934,21781,NA,13132,NA,24278,32391,2407,1815,1252,523,40,0,0,592,352,240,0,0,0,625,40
00692,ZCTA5 00692,34555,15357,19432,15167,15110,19613,27017,46333,11330,7745,5227,2353,119,46,0,3585,1792,1612,128,53,0,527,31.4
00693,ZCTA5 00693,53151,24294,19708,15610,15853,18587,26568,35360,19035,15178,9598,5058,369,130,23,3857,1679,1991,103,84,0,494,29.9
00694,ZCTA5 00694,64,19,NA,NA,NA,NA,NA,NA,30,30,30,0,0,0,0,0,0,0,0,0,0,NA,NA
00698,ZCTA5 00698,35117,17183,16396,8618,13197,15025,19221,29222,10926,8253,5654,2436,144,0,19,2673,1829,819,16,9,0,365,25
00703,ZCTA5 00703,25949,12397,15948,11611,13838,16492,18853,31302,8475,5620,3368,2186,66,0,0,2855,1598,1164,93,0,0,453,34
00704,ZCTA5 00704,8073,4406,17369,NA,16385,19615,25691,20117,2724,2320,1360,819,73,68,0,404,164,240,0,0,0,487,27.9
00705,ZCTA5 00705,22648,10010,17756,12620,14907,16786,26136,31617,8527,6645,4584,1849,212,0,0,1882,976,849,57,0,0,470,30.3
00707,ZCTA5 00707,10715,4885,16991,7527,13678,17118,24440,36204,3815,2833,1625,1062,119,27,0,982,602,270,98,12,0,398,31
00714,ZCTA5 00714,17725,10471,17244,11071,15214,19216,27353,28591,5899,4640,3242,1246,128,11,13,1259,577,591,61,30,0,471,31.3
00715,ZCTA5 00715,2818,1906,10842,NA,7159,12039,8650,NA,1032,752,494,258,0,0,0,280,107,173,0,0,0,316,27.8
00716,ZCTA5 00716,27377,13360,20582,10896,13636,17410,24030,40550,11060,6896,5204,1575,85,23,9,4164,2483,1635,28,18,0,374,30.2
00717,ZCTA5 00717,15697,8897,16770,15345,9937,12121,25165,30921,6759,3234,2552,630,35,17,0,3525,2291,1073,132,29,0,288,34.3
00718,ZCTA5 00718,25337,11989,17063,15463,15737,17894,21513,24866,7979,6195,3905,2044,210,17,19,1784,924,726,134,0,0,458,32.8
00719,ZCTA5 00719,28500,13157,17317,16082,14948,14963,25397,31675,8598,6452,3961,2325,121,45,0,2146,1180,897,47,22,0,477,43
00720,ZCTA5 00720,20652,11552,16982,13306,15767,16741,21084,16910,6626,4405,2910,1356,112,19,8,2221,1127,1025,60,9,0,394,28.7
00723,ZCTA5 00723,16984,9141,16506,9205,11726,16821,21982,35078,6162,4043,2669,1247,105,22,0,2119,1376,627,93,15,8,309,30
00725,ZCTA5 00725,80068,33738,19209,9388,15333,16845,26932,35278,30256,20071,13689,6036,266,33,47,10185,5213,4598,343,31,0,497,32.5
00727,ZCTA5 00727,52500,16492,24292,15559,17399,20358,29878,42514,19252,13896,9304,4327,195,59,11,5356,2953,2159,244,0,0,738,27.6
00728,ZCTA5 00728,36914,18076,16223,11788,13723,15258,21306,26875,13139,9909,6359,3262,247,23,18,3230,1614,1506,88,6,16,410,30.5
00729,ZCTA5 00729,50711,21080,18209,14291,16353,17424,23739,30581,16481,12314,6834,4932,440,74,34,4167,1996,1786,279,106,0,539,28.7
00730,ZCTA5 00730,30067,16095,17859,9087,14901,16513,22604,33105,11558,7203,4921,2115,134,25,8,4355,2443,1849,31,9,23,391,31.8
00731,ZCTA5 00731,12608,6803,16994,9268,14965,15529,22111,43482,4361,3063,1964,948,151,0,0,1298,675,490,100,33,0,419,28.1
00735,ZCTA5 00735,12158,5094,16784,9350,15356,19797,19703,16173,4303,3078,1841,1105,124,8,0,1225,639,568,18,0,0,484,28.1
00736,ZCTA5 00736,45982,19344,20414,11008,16550,19435,26292,35042,17238,10963,7087,3700,176,0,0,6275,3700,2444,123,8,0,483,33.5
00738,ZCTA5 00738,29073,12248,16446,8918,14522,16714,20459,35833,11558,7765,4741,2782,163,58,21,3793,2231,1388,116,45,13,520,35.4
